MacherTypes	SelectorTypes	DetectorType	descriptorType	FrameNo	No of KP	 KP-time 	No of Desc	Desc-time	No of Match	Match-time
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	0	125	8384	[64 x 125]	18674	0	0
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	1	118	6563	[64 x 118]	18024	95	195
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	2	123	5457	[64 x 123]	18133	95	158
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	3	120	5698	[64 x 120]	18424	90	157
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	4	120	5401	[64 x 120]	18109	93	167
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	5	113	5320	[64 x 113]	18006	92	155
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	6	114	5396	[64 x 114]	18166	85	149
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	7	123	5442	[64 x 123]	17999	93	157
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	8	111	5391	[64 x 111]	18073	90	151
MAT_BF     	SEL_NN     	SHITOMASI 	BRISK     	9	112	5424	[64 x 112]	17973	89	144
MAT_BF     	SEL_NN     	SHITOMASI 	BRIEF    	0	125	14060	[32 x 125]	806	0	0
MAT_BF     	SEL_NN     	SHITOMASI 	BRIEF    	1	118	11090	[32 x 118]	487	103	181
MAT_BF     	SEL_NN     	SHITOMASI 	BRIEF    	2	123	7024	[32 x 123]	331	105	147
MAT_BF     	SEL_NN     	SHITOMASI 	BRIEF    	3	120	5591	[32 x 120]	268	100	137
MAT_BF     	SEL_NN     	SHITOMASI 	BRIEF    	4	120	5207	[32 x 120]	262	102	146
MAT_BF     	SEL_NN     	SHITOMASI 	BRIEF    	5	113	5254	[32 x 113]	247	98	136
MAT_BF     	SEL_NN     	SHITOMASI 	BRIEF    	6	114	5240	[32 x 114]	248	97	138
MAT_BF     	SEL_NN     	SHITOMASI 	BRIEF    	7	123	5334	[32 x 123]	262	101	137
MAT_BF     	SEL_NN     	SHITOMASI 	BRIEF    	8	111	5241	[32 x 111]	245	99	153
MAT_BF     	SEL_NN     	SHITOMASI 	BRIEF    	9	112	5324	[32 x 112]	248	99	128
MAT_BF     	SEL_NN     	SHITOMASI 	ORB       	0	125	15142	[32 x 125]	5745	0	0
MAT_BF     	SEL_NN     	SHITOMASI 	ORB       	1	118	9460	[32 x 118]	2964	99	155
MAT_BF     	SEL_NN     	SHITOMASI 	ORB       	2	123	6300	[32 x 123]	2255	103	143
MAT_BF     	SEL_NN     	SHITOMASI 	ORB       	3	120	5303	[32 x 120]	1928	100	140
MAT_BF     	SEL_NN     	SHITOMASI 	ORB       	4	120	5252	[32 x 120]	1886	103	138
MAT_BF     	SEL_NN     	SHITOMASI 	ORB       	5	113	5368	[32 x 113]	1865	98	118
MAT_BF     	SEL_NN     	SHITOMASI 	ORB       	6	114	5289	[32 x 114]	1918	99	133
MAT_BF     	SEL_NN     	SHITOMASI 	ORB       	7	123	5221	[32 x 123]	1860	98	137
MAT_BF     	SEL_NN     	SHITOMASI 	ORB       	8	111	5505	[32 x 111]	1857	102	135
MAT_BF     	SEL_NN     	SHITOMASI 	ORB       	9	112	5259	[32 x 112]	1929	98	113
MAT_BF     	SEL_NN     	SHITOMASI 	FREAK    	0	125	23702	[64 x 125]	28870	0	0
MAT_BF     	SEL_NN     	SHITOMASI 	FREAK    	1	118	5357	[64 x 118]	17039	93	153
MAT_BF     	SEL_NN     	SHITOMASI 	FREAK    	2	123	5271	[64 x 123]	17176	97	144
MAT_BF     	SEL_NN     	SHITOMASI 	FREAK    	3	120	5219	[64 x 120]	17047	95	147
