MacherTypes,Sr NO,Total Time (us),KP Matches
MAT_FLANN    SEL_NN     FAST      AKAZE    ,101,1591.8,0
MAT_BF     SEL_KNN    FAST      AKAZE    ,59,1851.5,0
MAT_BF     SEL_NN     FAST      AKAZE    ,17,1900.1,0
MAT_FLANN    SEL_KNN    FAST      AKAZE    ,143,2187.3,0
MAT_BF     SEL_KNN    FAST      BRIEF    ,56,2603.2,410.333
MAT_FLANN    SEL_NN     FAST      BRIEF    ,98,2754.1,410.333
MAT_FLANN    SEL_KNN    FAST      BRIEF    ,140,3048.3,410.333
MAT_BF     SEL_NN     FAST      BRIEF    ,14,3276.4,288.444
MAT_FLANN    SEL_KNN    ORB       AKAZE    ,155,4446.8,0
MAT_FLANN    SEL_NN     ORB       AKAZE    ,113,4524.9,0
MAT_BF     SEL_NN     ORB       AKAZE    ,29,4569.1,0
MAT_BF     SEL_KNN    ORB       AKAZE    ,71,4601.1,0
MAT_FLANN    SEL_KNN    ORB       BRIEF    ,152,4766.7,114.778
MAT_BF     SEL_NN     ORB       BRIEF    ,26,4782.5,61.1111
MAT_FLANN    SEL_NN     ORB       BRIEF    ,110,4876.3,114.778
MAT_FLANN    SEL_NN     FAST      ORB       ,99,4945.7,410.333
MAT_BF     SEL_KNN    FAST      ORB       ,57,5371.1,410.333
MAT_BF     SEL_NN     FAST      ORB       ,15,5633.7,287.556
MAT_FLANN    SEL_KNN    FAST      ORB       ,141,5645,410.333
MAT_FLANN    SEL_NN     SHITOMASI AKAZE    ,89,5810.5,0
MAT_BF     SEL_KNN    ORB       BRIEF    ,68,6349.4,114.778
MAT_BF     SEL_KNN    SHITOMASI AKAZE    ,47,7051.2,0
MAT_FLANN    SEL_KNN    SHITOMASI AKAZE    ,131,7171.8,0
MAT_FLANN    SEL_KNN    SHITOMASI BRIEF    ,128,7439.1,118.556
MAT_FLANN    SEL_KNN    SHITOMASI ORB       ,129,7503.7,118.556
MAT_BF     SEL_KNN    SHITOMASI BRIEF    ,44,7624.8,118.556
MAT_FLANN    SEL_KNN    HARRIS   BRIEF    ,134,7886.9,24.7778
MAT_FLANN    SEL_NN     SHITOMASI BRIEF    ,86,7910.6,118.556
MAT_BF     SEL_NN     SHITOMASI BRIEF    ,2,7958.2,100.444
MAT_BF     SEL_KNN    HARRIS   AKAZE    ,53,8069.7,0
MAT_FLANN    SEL_KNN    HARRIS   AKAZE    ,137,9026.6,0
MAT_FLANN    SEL_NN     HARRIS   AKAZE    ,95,9049.5,0
MAT_BF     SEL_NN     SHITOMASI AKAZE    ,5,9254.3,0
MAT_FLANN    SEL_NN     HARRIS   BRIEF    ,92,9302,24.7778
MAT_BF     SEL_KNN    HARRIS   BRIEF    ,50,9499.6,24.7778
MAT_BF     SEL_NN     HARRIS   BRIEF    ,8,9522.8,18.2222
MAT_BF     SEL_NN     HARRIS   ORB       ,9,9639.8,17.8889
MAT_BF     SEL_KNN    SHITOMASI ORB       ,45,9656.5,118.556
MAT_FLANN    SEL_NN     SHITOMASI ORB       ,87,9763.1,118.556
MAT_BF     SEL_NN     SHITOMASI ORB       ,3,10040.9,100
MAT_BF     SEL_NN     HARRIS   AKAZE    ,11,10286.4,0
MAT_BF     SEL_KNN    HARRIS   ORB       ,51,10493.2,24.7778
MAT_BF     SEL_KNN    ORB       ORB       ,69,10879,114.778
MAT_FLANN    SEL_KNN    HARRIS   ORB       ,135,11494.3,24.7778
MAT_FLANN    SEL_NN     HARRIS   ORB       ,93,11645.3,24.7778
MAT_BF     SEL_NN     ORB       ORB       ,27,12918.4,84.4444
MAT_BF     SEL_KNN    FAST      SIFT     ,60,12949.7,410.333
MAT_FLANN    SEL_NN     ORB       ORB       ,111,12993.1,114.778
MAT_FLANN    SEL_KNN    ORB       ORB       ,153,13028.8,114.778
MAT_FLANN    SEL_NN     FAST      SIFT     ,102,13437.9,410.333
MAT_BF     SEL_NN     FAST      SIFT     ,18,13669.1,293.444
MAT_FLANN    SEL_KNN    FAST      SIFT     ,144,13867.4,410.333
MAT_BF     SEL_KNN    ORB       BRISK     ,67,14275.6,105.556
MAT_FLANN    SEL_NN     FAST      BRISK     ,97,14590.2,410.333
MAT_FLANN    SEL_KNN    FAST      BRISK     ,139,14983.9,410.333
